,dt,channel,username,message
0,2022-02-28 21:17:58,saltybet,k_dash_x,Len hatred? cmonBruh
1,2022-02-28 21:18:01,saltybet,rvvici,there's nowhere else to spend it 4Head Mitsukai_
2,2022-02-28 21:18:12,saltybet,ganbarejoe,!defense
3,2022-02-28 21:18:16,saltybet,nightbot,Blocking is merely a suggestion Kappa
4,2022-02-28 21:18:22,saltybet,rvvici,PogChamp
5,2022-02-28 21:18:24,saltybet,butts_forever,wowie
6,2022-02-28 21:18:25,saltybet,mitsukai_,technically there's two TPFufun
7,2022-02-28 21:18:28,saltybet,rvvici,blocking is for chumps
8,2022-02-28 21:18:43,saltybet,rvvici,"strategy, schmategy"
9,2022-02-28 21:18:45,saltybet,dyingbloodbirds,Ive finished farming
10,2022-02-28 21:18:45,saltybet,heyimtg,I've seen Antimage a ton but I haven't seen Invoker in so long
11,2022-02-28 21:18:50,saltybet,rvvici,spam hard or die spamming
12,2022-02-28 21:21:25,saltybet,avasectomy,@rvvici I'll find out
13,2022-02-28 21:21:36,saltybet,rvvici,SeemsGood
14,2022-02-28 21:24:29,saltybet,grizzlymannerz,atp0in20 PowerUpL EntropyWins PowerUpR atp0in20
15,2022-02-28 21:27:46,saltybet,avasectomy,I want a refud
16,2022-02-28 21:27:50,saltybet,avasectomy,nvm
17,2022-02-28 21:27:52,saltybet,thisismytwitchnameithink,for what
18,2022-02-28 21:27:54,saltybet,grizzlymannerz,PowerUpL atpRtsd4 PowerUpR
19,2022-02-28 21:27:55,saltybet,thisismytwitchnameithink,ryu will lose
20,2022-02-28 21:28:00,saltybet,victorkruger,!marcus
21,2022-02-28 21:28:00,saltybet,nightbot,Two words my friend: NO REFUNDS!!! OpieOP
22,2022-02-28 21:28:01,saltybet,rvvici,!real
23,2022-02-28 21:28:01,saltybet,nightbot,KomodoHype FINAL ROUND HYPE! KomodoHype
24,2022-02-28 21:29:45,saltybet,avasectomy,Red will win
25,2022-02-28 21:30:21,saltybet,waifu4u,"Bets are locked. Omanyte (-2) - $6,206,706, Warlock (-1) - $9,522,973"
26,2022-02-28 21:30:40,saltybet,avasectomy,"Oh no, Blue is good"
27,2022-02-28 21:30:51,saltybet,victorkruger,that was super effective
28,2022-02-28 21:30:53,saltybet,avasectomy,thunder is a mechs weakness
29,2022-02-28 21:35:45,saltybet,avasectomy,I'm going to simp $30 to Red
30,2022-02-28 21:35:53,saltybet,pedenpants,all in on snorlax baby
31,2022-02-28 21:35:54,saltybet,victorkruger,2m on red
32,2022-02-28 21:35:54,saltybet,pumpkinkingjack,Master Grade Snorlax Keepo
33,2022-02-28 21:35:56,saltybet,haxinjackson,ResidentSleeper
34,2022-02-28 21:35:58,saltybet,theliamk,Lets go thicc boi
